folder,accuracy,precision,recall,f1,roc_auc,r2_score
2025-12-29_22-35-08_tempv1040.1,0.7941008300636843,0.7623604465709729,0.12545931758530185,0.21546089700247914,0.7032915096460763,0.10359036922454834
2025-12-29_22-36-28_tempv1040.25,0.7997003095486899,0.8036311514572384,0.14715660542432196,0.24876136951859795,0.704269331149458,0.12604594230651855
2025-12-29_22-44-07_url_embed_ResDS_MultiKernel_K357_D12_GN_C128_64_FC256_128v23,0.9795540132889056,0.9749565853212686,0.9332458442694663,0.9536453444191141,0.9955628721789654,0.9067745208740234
2025-12-29_22-59-54_temp_lstmv105,0.8449101914469922,0.8068181818181818,0.4099737532808399,0.5436825617821093,0.8542498343310436,0.3487066626548767
2025-12-29_23-08-28_temp_lstmv105,0.8229854689564069,0.7863148061653433,0.294575678040245,0.42858961303462323,0.795386762832711,0.24737805128097534
2025-12-29_23-11-18_temp_lstmv106,0.7938050829077861,0.7852112676056338,0.11706036745406824,0.20374600274097762,0.5560744129794232,0.06683403253555298
2025-12-30_19-00-03_temp_lstmv107,0.7804175949841282,0.7413509060955519,0.03937007874015748,0.07476946082911025,0.6214238881329989,0.05608779191970825
2025-12-30_19-39-58_temp_lstmv107,0.9518326465427157,0.9015997855036196,0.8825896762904637,0.8919934568283302,0.9785938161048865,0.7563503980636597
2025-12-30_19-48-24_temp_lstmv107,0.9518326465427157,0.8974086848854692,0.8877515310586177,0.8925539868936095,0.9781262175769224,0.7491445541381836
2025-12-30_19-58-10_temp_lstmv107,0.9580433368165776,0.9387735849056604,0.8706036745406824,0.9034044484793463,0.984692668303326,0.8068335652351379
2025-12-30_20-02-42_temp_lstmv107,0.9564068692206077,0.9298703720973608,0.8723534558180227,0.900194104635941,0.9835045837842897,0.7921135425567627
2025-12-30_20-12-55_temp_lstmv107,0.9789033695459295,0.9687782805429864,0.9365704286964129,0.9524021352313167,0.9948123944228522,0.9018598794937134
2025-12-30_20-23-49_temp_lstmv107,0.9773654843352589,0.9519957798487779,0.947331583552056,0.9496579547447817,0.9945662909306535,0.8937285542488098
2025-12-30_20-40-06_temp_lstmv107,0.9778386797846961,0.9742315479477268,0.926159230096238,0.9495873699318264,0.9944774323797985,0.8947389125823975
2025-12-30_20-56-56_temp_lstmv107,0.9795540132889056,0.9749565853212686,0.9332458442694663,0.9536453444191141,0.9955628721789654,0.9067745208740234
